"UniprotID"	"original"
"Q9NZI7"	"UBP1"
"Q9P241"	"ATP10D"
"Q9P270"	"SLAIN2"
"Q9UHB6"	"LIMA1"
"Q9UHI8"	"ADAMTS1"
"Q9UI12"	"ATP6V1H"
"Q9UIF9"	"BAZ2A"
"Q9UK33"	"ZNF580"
"Q9UKJ5"	"CHIC2"
"Q9ULJ8"	"PPP1R9A"
"Q9UM11"	"FZR1"
"Q9UM47"	"NOTCH3"
"Q9UMR2"	"DDX19B"
"Q9UN30"	"SCML1"
"Q9UN37"	"VPS4A"
"Q9UP38"	"FZD1"
"Q9UPI3"	"FLVCR2"
"Q9UQ53"	"MGAT4B"
"Q9Y2Z2"	"MTO1"
"Q9Y3Y2"	"CHTOP"
"Q9Y653"	"ADGRG1"
"Q9Y6F1"	"PARP3"
"Q9Y6F6"	"MRVI1"
"Q9Y6K5"	"OAS3"
