"Gene","Uniprot","Pearson_correlation"
"DACH1","Q9UI36",0.696189331105417
"ATP5IF1","Q9UII2",0.522448925968749
"GGT7","Q9UJ14",0.66724163730506
"SH3BGRL2","Q9UJC5",0.521000260975251
"PCOLCE2","Q9UKZ9",0.657976421063921
"NPIPA1","Q9UND3",0.553901433642167
"CDC14A","Q9UNH5",0.588459449799532
"USP22","Q9UPT9",0.54861826577614
"SRRM2","Q9UQ35",0.650077098571012
"NUDC","Q9Y266",0.546216779085989
"ITM2B","Q9Y287",0.643080025513165
"NTNG1","Q9Y2I2",0.610945490962654
"PRELID3B","Q9Y3B1",0.519053910850719
"RNF11","Q9Y3C5",0.548288108604822
"TLN1","Q9Y490",0.537107223207133
"PRRC2C","Q9Y520",0.603851422191164
"H3_5","Undefined_ID_H3_5",0.594483401807402
"HLA_B","Undefined_ID_HLA_B",0.522181408125403
"HLA_C","Undefined_ID_HLA_C",0.515644169501164
"HLA_E","Undefined_ID_HLA_E",0.625154060100455
