"UniprotID"	"original"
"O95976"	"IGSF6"
"O95980"	"RECK"
"O95989"	"NUDT3"
"O96000"	"NDUFB10"
"O96008"	"TOMM40"
"O96013"	"PAK4"
"P00167"	"CYB5A"
"P00390"	"GSR"
"P00439"	"PAH"
"P00441"	"SOD1"
"P00491"	"PNP"
"P00505"	"GOT2"
"P00519"	"ABL1"
"P00558"	"PGK1"
"P00750"	"PLAT"
"P00918"	"CA2"
"P00966"	"ASS1"
"P01009"	"SERPINA1"
"P01111"	"NRAS"
"P01127"	"PDGFB"
"P01241"	"GH1"
"P01570"	"IFNA14"
"P01730"	"CD4"
"P02652"	"APOA2"
"P02656"	"APOC3"
"P02686"	"MBP"
"P02689"	"PMP2"
"P02746"	"C1QB"
"P02788"	"LTF"
"P04049"	"RAF1"
"P04075"	"ALDOA"
"P04181"	"OAT"
"P04233"	"CD74"
"P04424"	"ASL"
"P04632"	"CAPNS1"
"P04908-C8"	"H2AC8"
"P05014"	"IFNA4"
"P05114"	"HMGN1"
"P05166"	"PCCB"
"P05230"	"FGF1"
"P05496"	"ATP5MC1"
"P05787"	"KRT8"
"P06132"	"UROD"
"P06213"	"INSR"
"P06241"	"FYN"
"P06401"	"PGR"
"P06730"	"EIF4E"
"P06732"	"CKM"
"P06748"	"NPM1"
"P06753"	"TPM3"
"P06865"	"HEXA"
"P06899"	"H2BC11"
"P07108"	"DBI"
"P07195"	"LDHB"
"P07225"	"PROS1"
"P07339"	"CTSD"
"P07478"	"PRSS2"
"P07711"	"CTSL"
"P07741"	"APRT"
"P07910"	"HNRNPC"
"P07942"	"LAMB1"
"P08047"	"SP1"
"P08069"	"IGF1R"
"P08235"	"NR3C2"
"P08240"	"SRPRA"
"P08263"	"GSTA1"
"P08579"	"SNRPB2"
"P08590"	"MYL3"
"P08603"	"CFH"
"P08621"	"SNRNP70"
"P08670"	"VIM"
"P08865"	"RPSA"
"P08F94"	"PKHD1"
"P09001"	"MRPL3"
"P09234"	"SNRPC"
"P09382"	"LGALS1"
"P09429"	"HMGB1"
"P09467"	"FBP1"
"P09486"	"SPARC"
"P09496"	"CLTA"
"P09622"	"DLD"
"P09651"	"HNRNPA1"
"P09661"	"SNRPA1"
"P09669"	"COX6C"
"P09874"	"PARP1"
"P09936"	"UCHL1"
"P0C0S5"	"H2AZ1"
"P0C6T2"	"OST4"
"P0C7A2"	"FAM153B"
"P0C7P0"	"CISD3"
"P0CAP2"	"POLR2M"
"P0CB47"	"UBTFL1"
"P0CJ68"	"MTRNR2L1"
"P0DJ07"	"PET100"
"P0DJD1"	"RGPD2"
"P0DKX0"	"ZNF728"
"P0DML3"	"CSH2"
"P0DMN0"	"SULT1A4"
"P0DMP2"	"SRGAP2B"
"P0DN26"	"PPIAL4F"
"P0DP25"	"CALM3"
"P0DP57"	"SLURP2"
"P0DPA2"	"VSIG8"
"P0DPB3"	"SCHIP1"
"P0DPI2"	"GATD3A"
"P0DTL6"	"CYHR1"
"P0DTW1"	"GAGE1"
"P0DUB6"	"AMY1A"
"P10109"	"FDX1"
"P10124"	"SRGN"
"P10155"	"RO60"
"P10176"	"COX8A"
"P10253"	"GAA"
"P10301"	"RRAS"
"P10415"	"BCL2"
"P10586"	"PTPRF"
"P10599"	"TXN"
"P10635"	"CYP2D6"
"P10646"	"TFPI"
"P10768"	"ESD"
"P10809"	"HSPD1"
"P10909"	"CLU"
"P11230"	"CHRNB1"
"P11233"	"RALA"
"P11362"	"FGFR1"
"P11686"	"SFTPC"
"P11766"	"ADH5"
"P11926"	"ODC1"
"P12314"	"FCGR1A"
"P12694"	"BCKDHA"
"P13073"	"COX4I1"
"P13284"	"IFI30"
"P13489"	"RNH1"
"P13497"	"BMP1"
"P13501"	"CCL5"
"P13647"	"KRT5"
"P13688"	"CEACAM1"
"P13797"	"PLS3"
"P13804"	"ETFA"
"P13807"	"GYS1"
"P13861"	"PRKAR2A"
"P14207"	"FOLR2"
"P14550"	"AKR1A1"
"P14621"	"ACYP2"
"P14625"	"HSP90B1"
"P14635"	"CCNB1"
"P14672"	"SLC2A4"
"P14678"	"SNRPB"
"P14770"	"GP9"
"P14854"	"COX6B1"
"P14868"	"DARS1"
"P14902"	"IDO1"
"P14923"	"JUP"
"P15036"	"ETS2"
"P15056"	"BRAF"
"P15090"	"FABP4"
"P15104"	"GLUL"
"P15121"	"AKR1B1"
"P15153"	"RAC2"
"P15170"	"GSPT1"
"P15260"	"IFNGR1"
"P15311"	"EZR"
"P15328"	"FOLR1"
"P15428"	"HPGD"
