"","Dim.1","Dim.2","Dim.3"
"ACAP3_HUMAN",0.0100078463269654,0.000463553784969626,0.00515784004902274
"THIL_HUMAN",4.38181015326679e-05,0.0166491970897492,0.000571578519456593
"THIC_HUMAN",0.000824796640817239,0.0125287705639973,0.00382223944485833
"GCP60_HUMAN",0.0110095043661809,2.25653868654999e-05,0.00441638887923044
"ACBD4_HUMAN",0.0146323596131853,3.46735403829192e-05,0.000105365570283113
"ACBD5_HUMAN",0.00195625575664,0.0101176802776872,0.00492408576571182
"ACBD6_HUMAN",0.00915455012385332,0.0064714590854556,7.94382903627562e-05
"ACBD7_HUMAN",0.0108584676261987,0.00426097732658711,0.000298646854400309
"1A1L1_HUMAN",0.0048803170272756,0.000656783920227851,0.0110460801052045
"1A1L2_HUMAN",0.0104408695756706,0.00425492136796708,0.000800293079896443
"R4GNJ5_HUMAN",0.000285619449163586,0.00472708415293642,0.0123714577835135
"ACE_HUMAN",0.00944185642233024,0.00368600807294974,0.00256245729165297
"ACE2_HUMAN",0.011186673719036,0.00371123104026031,0.000466549353031443
"ACER1_HUMAN",0.000126589951658215,0.00270863390791928,0.0146064872874068
"ACER2_HUMAN",0.00743217817697963,0.00762560242414644,0.000953056617285972
"ACER3_HUMAN",0.00143373040790957,0.00310180797167277,0.0126568771559387
"ACES_HUMAN",0.00475253610501442,0.011694412803419,7.60970876476489e-06
"ACINU_HUMAN",1.85713879502039e-06,0.00428694213225018,0.013154381451533
"ACKR1_HUMAN",0.0133028625872369,0.000262634337776501,0.00145178865535388
"V9GYB7_HUMAN",0.00403905943308264,0.012518445678743,1.87799450560386e-05
"ACKR3_HUMAN",0.000372960855984813,0.000683633035667804,0.0163671245702852
"ACKR4_HUMAN",0.0042647482153258,0.00090338875790263,0.0115264804406735
"ACLY_HUMAN",2.94274170566113e-07,0.00311020753265243,0.0143492246099821
"ACMSD_HUMAN",0.00372626025371635,0.0105453838325267,0.00239025160095704
"ACOC_HUMAN",0.000956411786755545,0.0138315638188465,0.00234528110134029
"ACON_HUMAN",0.00131130618527375,0.0142649267717019,0.00148482739822193
"IRG1_HUMAN",0.0140208784596306,0.000853215998537938,1.07790012197815e-06
"ACOT1_HUMAN",0.0113628502284554,0.00246513950530341,0.00152080840855369
"ACO11_HUMAN",0.00477948861477629,0.00930884300399613,0.0023941502869375
"ACO12_HUMAN",0.000843969011142305,0.0143795085151049,0.00192318819486745
"ACO13_HUMAN",0.000392548678587388,0.0140030856225022,0.00284044948313701
"ACOT2_HUMAN",0.000356055883769293,0.00456048066066533,0.0124567852492245
"ACOT4_HUMAN",0.00085825425434751,6.24812516276888e-05,0.0164210248162375
"ACOT6_HUMAN",0.002811259160935,0.00161163961332474,0.012533103686639
"BACH_HUMAN",0.00252217969061438,0.0143078840697323,4.49839562504835e-06
"ACOT8_HUMAN",0.00476182671236025,0.00782682435747108,0.00391759688228563
"ACOT9_HUMAN",0.0132925003466676,0.00162103433134872,8.69206713963448e-05
"ACOX1_HUMAN",0.00265648292865835,0.00063561372880373,0.0137062631542321
"ACOX2_HUMAN",0.0122603932766929,0.00278065136944979,0.000135946563002765
"ACOX3_HUMAN",0.00177366971681709,0.00798101093423863,0.00730691865093803
"ACOXL_HUMAN",7.0618202309701e-07,3.18252494560971e-05,0.0174696395337113
"PPAC_HUMAN",0.00397074500104369,0.00854520116715178,0.00412796591058397
"PPAL_HUMAN",0.0141980181996023,0.000178375281973089,0.00047505257095988
"PPAT_HUMAN",0.000563985242345771,1.27835732875831e-05,0.0168205778411146
