"","IDs","Slide_19.B.01576_Glo_ROI_1","Slide_19.B.01576_Glo_ROI_5","Slide_19.B.01576_Glo_ROI_6","Slide_19.B.01576_Glo_ROI_7","Z_scores_Slide_19.B.01576_Glo_ROI_1","Z_scores_Slide_19.B.01576_Glo_ROI_5","Z_scores_Slide_19.B.01576_Glo_ROI_6","Z_scores_Slide_19.B.01576_Glo_ROI_7","hclust_clusters"
"PNCB_HUMAN","NAPRT@PNCB_HUMAN",3.36457243229586,1.92599941855622,3.78659636189081,2.13750352374994,0.615075277193419,-0.96243158551054,1.07785724154481,-0.730500933227688,1
"A0A0B4J2A8_HUMAN","NAPSA@A0A0B4J2A8_HUMAN",2.88752527074159,3.49825086752783,3.26303440583379,4.14567745519564,-1.06187751141427,0.0939228047488493,-0.351225167144472,1.31917987380989,4
"NARF_HUMAN","NARF@NARF_HUMAN",4.01792190799726,3.71149490665009,4.16188768237689,3.36457243229586,0.576786524737576,-0.289801592405645,0.983927634379417,-1.27091256671135,3
"SYNC_HUMAN","NARS1@SYNC_HUMAN",4.64961545906341,4.07895134139482,4.04439411935845,3.88752527074159,1.45247741838974,-0.258331995010335,-0.361932026850973,-0.832213396528439,1
"SYNM_HUMAN","NARS2@SYNM_HUMAN",3.73335434061383,1.92599941855622,3.26303440583379,3.15380533607904,0.926634560398953,-1.41795951404824,0.316511269880971,0.174813683768317,1
"NASP_HUMAN","NASP@NASP_HUMAN",2.56071495447448,4.23266075679027,3.63226821549951,2.88752527074159,-1.02155121478299,1.20360339243789,0.404554626895515,-0.586606804550415,4
"ARY1_HUMAN","NAT1@ARY1_HUMAN",3.36457243229586,2.90689059560852,3.4594316186373,2.56071495447448,0.697642019618236,-0.397081626324788,0.924534559367048,-1.2250949526605,3
"NAT10_HUMAN","NAT10@NAT10_HUMAN",3.56071495447448,2.90689059560852,2.78659636189081,3.15380533607904,1.34172860946471,-0.57069718925644,-0.922555900054804,0.151524479846532,2
"NAT14_HUMAN","NAT14@NAT14_HUMAN",1.58496250072116,2.90689059560852,0.485426827170242,2.56071495447448,-0.275369294792366,0.939904132732245,-1.28619317534213,0.62165833740225,4
"NAT16_HUMAN","NAT16@NAT16_HUMAN",2.88752527074159,3.90689059560852,3.63226821549951,2.56071495447448,-0.571944544619092,1.05060124741932,0.613478876885864,-1.09213557968609,3
"ARY2_HUMAN","NAT2@ARY2_HUMAN",3.88752527074159,2.90689059560852,4.16188768237689,3.73335434061383,0.398171956681995,-1.41699134651164,0.906019164214745,0.112800225614901,1
"NAT8","NAT8",3.73335434061383,4.37155886261196,4.85299758761332,4.26303440583379,-1.24472150692216,0.144353427971932,1.19222200698633,-0.0918539280361044,3
"NAT8B_HUMAN","NAT8B@NAT8B_HUMAN",5.08321336824898,5.43295940727611,4.37155886261196,4.88264304936184,0.317113626228042,1.10583126361791,-1.28774932485846,-0.1351955649875,3
"NAT8L_HUMAN","NAT8L@NAT8L_HUMAN",3.15380533607904,3.90689059560852,3.05311133645956,2.88752527074159,-0.213906484621169,1.45493733809476,-0.437045308709305,-0.803985544764288,3
"NAT9_HUMAN","NAT9@NAT9_HUMAN",4.01792190799726,3.71149490665009,4.04439411935845,3.88752527074159,0.673984857362883,-1.33918868204324,0.847902805871394,-0.182698981191034,1
"NATD1_HUMAN","NATD1@NATD1_HUMAN",1.58496250072116,4.07895134139482,4.54843662469604,2.13750352374994,-1.03868693918611,0.685420825530881,1.00997850163554,-0.656712387980311,3
"NAV1_HUMAN","NAV1@NAV1_HUMAN",4.14567745519564,4.23266075679027,4.27052894238072,4.01792190799726,-0.187487308047398,0.588364840679474,0.926132120377025,-1.32700965300909,3
"NAV2_HUMAN","NAV2@NAV2_HUMAN",1.58496250072116,2.48542682717024,2.78659636189081,3.56071495447448,-1.24822558603293,-0.145701035300022,0.223049615013502,1.17087700631945,1
"NAV3_HUMAN","NAV3@NAV3_HUMAN",4.14567745519564,2.90689059560852,3.63226821549951,3.36457243229586,1.22344805255998,-1.16962138182724,0.231651966461469,-0.285478637194217,1
"NNRD_HUMAN","NAXD@NNRD_HUMAN",4.01792190799726,4.23266075679027,3.4594316186373,4.73335434061383,-0.17609283064796,0.230857995925366,-1.23448578639714,1.17972062111974,4
"NNRE_HUMAN","NAXE@NNRE_HUMAN",3.73335434061383,3.49825086752783,4.04439411935845,4.8073549220576,-0.504304497082062,-0.916722743984768,0.0413211314255178,1.37970610964131,1
"NBAS_HUMAN","NBAS@NBAS_HUMAN",3.36457243229586,4.49185309632967,4.04439411935845,3.15380533607904,-0.647322660225333,1.18115119207455,0.455362960738232,-0.989191492587447,3
"NBDY_HUMAN","NBDY@NBDY_HUMAN",3.73335434061383,2.90689059560852,2.78659636189081,3.73335434061383,0.86206710395255,-0.745102936081678,-0.979031271823423,0.86206710395255,2
"NBEA_HUMAN","NBEA@NBEA_HUMAN",3.56071495447448,3.71149490665009,3.63226821549951,3.88752527074159,-0.976719380492191,0.096003458451876,-0.467654241559903,1.34837016360021,4
"NBEL2_HUMAN","NBEAL2@NBEL2_HUMAN",3.36457243229586,3.71149490665009,3.78659636189081,2.56071495447448,0.0155560487299526,0.633897717201909,0.767755747658597,-1.41720951359046,3
"NBL1_HUMAN","NBL1@NBL1_HUMAN",3.73335434061383,3.90689059560852,4.16188768237689,2.88752527074159,0.110385283079811,0.424725454355168,0.886622179808534,-1.42173291724351,3
