"UniprotID"	"original"
"Q9ULZ0"	"TP53TG3"
"Q9ULZ1"	"APLN"
"Q9UMW8"	"USP18"
"Q9UP95"	"SLC12A4"
"Q9UPQ0"	"LIMCH1"
"Q9UPQ9"	"TNRC6B"
"Q9UQR1"	"ZNF148"
"Q9Y2K5"	"R3HDM2"
"Q9Y2V2"	"CARHSP1"
"Q9Y2Z0"	"SUGT1"
"Q9Y388"	"RBMX2"
"Q9Y3A5"	"SBDS"
"Q9Y3P9"	"RABGAP1"
"Q9Y3T6"	"R3HCC1"
"Q9Y5J9"	"TIMM8B"
"Q9Y6B6"	"SAR1B"
"Q9Y6J0"	"CABIN1"
"UPI0000366CBC"	"ELOA3D"
