"","Dim.1","Dim.2","Dim.3","Dim.4"
"ABCB9_HUMAN",0.0146223465570917,0.00406485518996269,0.000859698044039664,0.000562965774641826
"MRP1_HUMAN",0.00867152420851301,0.00138888987749477,0.00311895683742528,0.00889890709933408
"MRP7_HUMAN",0.00386400373334475,6.84962325031476e-05,0.0144515585725229,0.00402578565460685
"MRP8_HUMAN",0.00403587807945094,0.0001873237927979,0.0157300494247074,0.00223771755732258
"MRP9_HUMAN",4.9947257986043e-06,0.017502413150097,0.000753369528076044,0.00322607161165539
"MRP2_HUMAN",0.00876152709136531,0.00267682953862166,0.00402327647247634,0.0062238063846897
"MRP3_HUMAN",0.00245966751171009,0.00649558893965757,0.0110977894750022,0.0018176133819695
"MRP4_HUMAN",0.0028729388939282,0.00194277440631682,0.00669622839152653,0.0116788160856805
"MRP5_HUMAN",0.000219051546959219,9.90434172580988e-05,0.0135774192571868,0.0096355049097879
"MRP6_HUMAN",0.00309558186635601,0.0103285100253375,0.00565576529622189,0.0024470548011188
"ABCC8_HUMAN",0.00199435683098723,0.00298257394626038,0.014992203126083,0.00230835443273472
"ABCC9_HUMAN",0.0131861678571301,0.00045038685769031,0.00668566990112759,0.000268332697269982
"ABCD1_HUMAN",6.62313928327774e-06,0.000717023477532809,0.0110391793490778,0.0119912881485443
"ABCD2_HUMAN",0.00156766850497709,2.86711894284813e-05,0.000656078284227534,0.022388906711967
"ABCD3_HUMAN",0.00494249668385183,0.00936215587082882,0.00488216261236755,0.00210599020391999
"ABCD4_HUMAN",0.00147249465100319,0.00231147575605799,0.00764482234136357,0.011972792891421
"ABCE1_HUMAN",0.00599966484322716,0.000923094602495175,0.00676943894526593,0.00881785046431294
"ABCF1_HUMAN",0.014010050666216,0.0012412975108003,5.21006259225761e-05,0.00565040995174414
"ABCF2_HUMAN",0.0145111594547953,0.0037513667367637,0.00170238173903936,0.000144336499123555
"ABCF3_HUMAN",0.00598105727865292,0.000995585067890146,0.0135307401731033,0.00122066489543902
"ABCG1_HUMAN",0.00631497423952973,0.0118995069865733,0.00241697064178094,3.56201589250403e-05
"ABCG2_HUMAN",0.00903044380647091,0.00376788709571967,0.0080541085729272,7.29451295539896e-05
"ABCG4_HUMAN",0.00693907726452094,0.0116291884514789,5.171258504218e-07,0.0022538297728814
