"","IDs","Slide_18.B.02912_Glo_ROI_1","Slide_18.B.02912_Glo_ROI_2","Slide_18.B.02912_Glo_ROI_3","Slide_18.B.02912_Glo_ROI_4","Slide_18.B.02912_Glo_ROI_5","Z_scores_Slide_18.B.02912_Glo_ROI_1","Z_scores_Slide_18.B.02912_Glo_ROI_2","Z_scores_Slide_18.B.02912_Glo_ROI_3","Z_scores_Slide_18.B.02912_Glo_ROI_4","Z_scores_Slide_18.B.02912_Glo_ROI_5","hclust_clusters"
"CERS6_HUMAN","CERS6@CERS6_HUMAN",2.37851162325373,4.52356195605701,3.36457243229586,1.58496250072116,4.53605290024021,-0.688653515228565,0.954463844547478,0.0666731120093764,-1.29651540039203,0.964031959063739,4
"CERT_HUMAN","CERT1@CERT_HUMAN",3.78659636189081,3.78659636189081,4.10433665981474,3.56071495447448,1.37851162325373,0.419493901607227,0.419493901607227,0.707225163611736,0.214945901734655,-1.76115886856085,1
"H3BQV8_HUMAN","CES1@H3BQV8_HUMAN",4.24031432933371,4.00898878322726,3.78659636189081,3.56071495447448,4.53605290024021,0.561330490993683,-0.0460675719066693,-0.630009675133409,-1.22311290830051,1.3378596643469,4
"EST2_HUMAN","CES2@EST2_HUMAN",3.78659636189081,4.00898878322726,3.78659636189081,4.73335434061383,2.94485844580754,-0.102488820832193,0.245584910932501,-0.102488820832193,1.37931339505164,-1.41992066431975,1
"EST3_HUMAN","CES3@EST3_HUMAN",3.59693514238723,2.20163386116965,3.78659636189081,3.15380533607904,3.36457243229586,0.609226469794571,-1.65019555007304,0.916346330881044,-0.10833700951272,0.232959758910143,2
"EST4A_HUMAN","CES4A@EST4A_HUMAN",2.37851162325373,4.20163386116965,4.10433665981474,1.58496250072116,2.94485844580754,-0.5915019686979,1.03171173551957,0.945083342021481,-1.29803704565308,-0.0872560631900752,4
"EST5A_HUMAN","CES5A@EST5A_HUMAN",2.78659636189081,2.78659636189081,2.78659636189081,5.02236781302845,2.37851162325373,-0.344742270031446,-0.344742270031446,-0.344742270031446,1.7638382653114,-0.729611455217064,1
"CETN1_HUMAN","CETN1@CETN1_HUMAN",1.76553474636298,2.20163386116965,3.36457243229586,2.56071495447448,1.37851162325373,-0.639539798113,-0.0687882780680826,1.4532257197897,0.401164704785313,-1.14606234839393,2
"CETN2_HUMAN","CETN2@CETN2_HUMAN",2.78659636189081,3.20163386116965,3.36457243229586,3.88752527074159,4.17791779219584,-1.25972970794684,-0.509664459763693,-0.215198152495696,0.729894161423982,1.25469815878225,5
"CETN3_HUMAN","CETN3@CETN3_HUMAN",3.78659636189081,3.52356195605701,3.78659636189081,2.56071495447448,3.95419631038688,0.472560710794372,0.00219730602540785,0.472560710794372,-1.71958503077702,0.772266303162872,4
"CETP_HUMAN","CETP@CETP_HUMAN",2.78659636189081,3.78659636189081,1.76553474636298,4.37155886261196,4.17791779219584,-0.542735034195493,0.375529272603313,-1.48033947077703,0.912679457831321,0.734865774537884,5
"CP100_HUMAN","CFAP100@CP100_HUMAN",2.78659636189081,1.20163386116965,1.76553474636298,1.58496250072116,1.37851162325373,1.68091046464989,-0.873069091644805,0.0355904709031755,-0.255380339821747,-0.588051504086517,2
"FLTOP_HUMAN","CFAP126@FLTOP_HUMAN",3.78659636189081,3.20163386116965,1.76553474636298,3.15380533607904,3.68929916053589,0.825868852615382,0.101819031201121,-1.67574330198613,0.0426182533603632,0.705437164809268,3
"CF161_HUMAN","CFAP161@CF161_HUMAN",2.78659636189081,2.78659636189081,1.76553474636298,3.15380533607904,2.94485844580754,0.184588839915621,0.184588839915621,-1.71694637165856,0.868446487491562,0.479322204335754,3
"CFA20_HUMAN","CFAP20@CFA20_HUMAN",2.78659636189081,2.78659636189081,3.78659636189081,3.15380533607904,4.53605290024021,-0.830608929964657,-0.830608929964657,0.501919258612699,-0.341292620760268,1.50059122207689,2
"CF206_HUMAN","CFAP206@CF206_HUMAN",0.765534746362977,1.20163386116965,1.76553474636298,1.58496250072116,1.37851162325373,-1.49161412131315,-0.357762372239664,1.10837223632055,0.638886861084536,0.102117396147721,5
"PCDP1_HUMAN","CFAP221@PCDP1_HUMAN",3.78659636189081,4.00898878322726,1.76553474636298,3.88752527074159,1.37851162325373,0.640653647189974,0.814158990214279,-0.936131149558594,0.719396011007897,-1.23807749885356,1
"CF298_HUMAN","CFAP298@CF298_HUMAN",4.37155886261196,4.37155886261196,4.37155886261196,4.14567745519564,4.37155886261196,0.44721359549996,0.44721359549996,0.44721359549996,-1.78885438199983,0.44721359549996,4
"CF299_HUMAN","CFAP299@CF299_HUMAN",1.76553474636298,1.20163386116965,2.78659636189081,4.14567745519564,3.36457243229586,-0.746795853427043,-1.22141990839838,0.112611210938985,1.2565224841374,0.599082066749035,5
"CF300_HUMAN","CFAP300@CF300_HUMAN",3.59693514238723,3.20163386116965,1.76553474636298,3.56071495447448,1.37851162325373,0.852959873618957,0.476760203704066,-0.889944228144128,0.818489905054568,-1.25826575423346,1
"CFA36_HUMAN","CFAP36@CFA36_HUMAN",5.03121873061072,4.20163386116965,3.78659636189081,4.37155886261196,4.37155886261196,1.51348152799504,-0.336454225226107,-1.2619685844269,0.0424706408289849,0.0424706408289849,3
"CF410_HUMAN","CFAP410@CF410_HUMAN",2.78659636189081,3.20163386116965,3.36457243229586,3.56071495447448,3.68929916053589,-1.5181396362542,-0.338132468373588,0.125123700496041,0.682783146929477,1.04836525720228,5
"CFA43_HUMAN","CFAP43@CFA43_HUMAN",2.37851162325373,2.78659636189081,1.76553474636298,1.58496250072116,1.37851162325373,0.68214715813101,1.37862458331287,-0.36401927862115,-0.672201577042674,-1.02455088578005,1
"CFA44_HUMAN","CFAP44@CFA44_HUMAN",3.10433665981474,3.20163386116965,3.78659636189081,2.56071495447448,2.37851162325373,0.175317891280843,0.349417646261842,1.39612635556103,-0.79741723762439,-1.12344465547932,1
"CFA45_HUMAN","CFAP45@CFA45_HUMAN",2.37851162325373,2.20163386116965,1.76553474636298,2.56071495447448,1.37851162325373,0.669231988581008,0.301079218498498,-0.606615990073219,1.04846938008132,-1.41216459708761,1
"CFA46_HUMAN","CFAP46@CFA46_HUMAN",3.78659636189081,2.78659636189081,1.76553474636298,1.58496250072116,3.95419631038688,0.918238516938495,0.0100078892324331,-0.917351542764974,-1.08135278677054,1.07045792336458,4
"CFA47_HUMAN","CFAP47@CFA47_HUMAN",3.10433665981474,2.20163386116965,1.76553474636298,2.56071495447448,1.37851162325373,1.34062164910348,-0.000761567842140503,-0.648788841496918,0.532819753501427,-1.22389099326585,1
"CFA52_HUMAN","CFAP52@CFA52_HUMAN",3.78659636189081,2.20163386116965,4.10433665981474,1.58496250072116,2.37851162325373,0.90116447457631,-0.563187828431873,1.1947258281173,-1.13293261826827,-0.399769855993468,2
"CFA53_HUMAN","CFAP53@CFA53_HUMAN",3.95419631038688,2.20163386116965,2.78659636189081,2.56071495447448,1.37851162325373,1.46919852132312,-0.399533809453057,0.224203357731801,-0.0166507636997364,-1.27721730590213,1
"CFA54_HUMAN","CFAP54@CFA54_HUMAN",3.36457243229586,2.20163386116965,1.76553474636298,3.15380533607904,2.94485844580754,1.00361069385988,-0.7165842406555,-1.36165312637541,0.691848318549218,0.382778354621809,3
"CFA57_HUMAN","CFAP57@CFA57_HUMAN",2.78659636189081,1.20163386116965,1.76553474636298,2.56071495447448,1.37851162325373,1.20138635582972,-1.04408144606349,-0.245184765173837,0.88137283679132,-0.793492981383717,2
"CFA58_HUMAN","CFAP58@CFA58_HUMAN",3.10433665981474,2.78659636189081,2.78659636189081,1.58496250072116,3.36457243229586,0.555647646794314,0.0897184798546673,0.0897184798546673,-1.67233772629671,0.937253119793062,4
"CFA61_HUMAN","CFAP61@CFA61_HUMAN",2.78659636189081,4.00898878322726,3.36457243229586,3.88752527074159,3.36457243229586,-1.42536655496384,1.07854308154254,-0.24145881216627,0.829741097753841,-0.24145881216627,5
"CFA65_HUMAN","CFAP65@CFA65_HUMAN",0.765534746362977,3.52356195605701,3.36457243229586,3.56071495447448,1.37851162325373,-1.30803624196805,0.749869167949966,0.631238938371967,0.777590923619832,-0.850662787973713,5
