"","IDs","Slide_20.B.00423_Glo_ROI_1","Slide_20.B.00423_Glo_ROI_2","Slide_20.B.00423_Glo_ROI_3","Z_scores_Slide_20.B.00423_Glo_ROI_1","Z_scores_Slide_20.B.00423_Glo_ROI_2","Z_scores_Slide_20.B.00423_Glo_ROI_3","hclust_clusters"
"ABHD4_HUMAN","ABHD4@ABHD4_HUMAN",4.09592441999854,3.88752527074159,3.82781902461732,1.12843138938604,-0.352126209837654,-0.776305179548386,4
"ABHD5_HUMAN","ABHD5@ABHD5_HUMAN",3.43295940727611,3.36457243229586,3.36457243229586,1.15470053837926,-0.577350269189622,-0.577350269189622,4
"ABHD6_HUMAN","ABHD6@ABHD6_HUMAN",3.75488750216347,3.56071495447448,4.4594316186373,-0.35974988748053,-0.770353983331159,1.13010387081169,1
"ABHD8_HUMAN","ABHD8@ABHD8_HUMAN",3.16992500144231,3.36457243229586,3.95419631038688,-0.799033974801546,-0.322396117020134,1.12143009182168,1
"ABI1_HUMAN","ABI1@ABI1_HUMAN",3.84799690655495,3.97269265400426,3.95419631038688,-1.14374366018321,0.709304831379652,0.434438828803559,2
"ABI2_HUMAN","ABI2@ABI2_HUMAN",4.09592441999854,4.64961545906341,4.4594316186373,-1.0867386663993,0.881377178100488,0.205361488298808,2
"ABI3_HUMAN","ABI3@ABI3_HUMAN",3.84799690655495,3.29278174922785,3.16992500144231,1.13788684254796,-0.398913570461907,-0.738973272086053,4
"TARSH_HUMAN","ABI3BP@TARSH_HUMAN",3.75488750216347,3.56071495447448,5.0703893278914,-0.455094262244712,-0.691510489135459,1.14660475138017,1
"ABITM_HUMAN","ABITRAM@ABITM_HUMAN",4.84297883178833,4.83289001416474,5.0703893278914,-0.539382871784666,-0.614502879978894,1.15388575176357,1
"ABL1_HUMAN","ABL1@ABL1_HUMAN",3.01792190799726,3.67807190511264,4.61470984411521,-0.937608920268554,-0.114862512097858,1.05247143236641,1
"ABL2_HUMAN","ABL2@ABL2_HUMAN",3.75488750216347,3.56071495447448,4.61470984411521,-0.395558182533907,-0.741715609714832,1.13727379224874,1
"ABLM2_HUMAN","ABLIM2@ABLM2_HUMAN",3.75488750216347,3.21723071622067,3.82781902461732,0.464535339138575,-1.14777582847261,0.683240489334039,1
"ABLM3_HUMAN","ABLIM3@ABLM3_HUMAN",3.30742852519225,3.83794324189103,3.68929916053589,-1.11130307711413,0.827228605146826,0.284074471967304,2
