"","Dim.1","Dim.2"
"ABCD1_HUMAN",0.00895199835178364,0.00018847646984702
"ABCD2_HUMAN",0.00289080740455917,0.00937760134221988
"ABCD3_HUMAN",0.00774016259745146,0.00202569132882848
"ABCD4_HUMAN",0.00862383823342908,0.000685986667421915
"ABCE1_HUMAN",0.00369857727564681,0.00815297432119445
"ABCF1_HUMAN",0.00749893895575139,0.00239140067292456
"ABCF2_HUMAN",0.000396887251284428,0.0131585321707829
"ABCF3_HUMAN",0.00143688631285585,0.0115818319270287
"ABCG1_HUMAN",0.00311570809878833,0.00903663855435368
"ABCG2_HUMAN",0.0029555979772162,0.00927937499233535
"ABCG4_HUMAN",0.00565149920696832,0.0051922288754293
"ABCG5_HUMAN",0.00831802796385631,0.00114961316901638
"ABCG8_HUMAN",0.00826123629936565,0.00123571269982781
"ABHD1_HUMAN",0.00907049098706544,8.8346087768464e-06
"ABHDA_HUMAN",0.005528120683639,0.0053792780324865
"ABHDB_HUMAN",0.00247844671839165,0.010002764593245
"ABD12_HUMAN",0.00393827577873467,0.00778957717766727
"AB12B_HUMAN",0.00907049098706544,8.8346087768464e-06
"ABHDD_HUMAN",0.00907596941716352,5.28983906389225e-07
"ABHEA_HUMAN",0.00862320173072573,0.000686951643261341
"ABHEB_HUMAN",0.00800670714690054,0.00162159398718978
"ABH15_HUMAN",0.0028689880995519,0.00941068070237945
"ABHGA_HUMAN",0.00547186776150347,0.00546456079794318
"ABHGB_HUMAN",0.00846553254349587,0.000925987480045964
"AB17A_HUMAN",0.00497602462430214,0.00621628839480062
"AB17B_HUMAN",0.00801396698071271,0.001610587648661
"AB17C_HUMAN",0.000972971362752117,0.0122851544990745
"ABD18_HUMAN",0.000831489494547474,0.012499649400395
"ABHD2_HUMAN",0.00844664710894785,0.000954618918626494
"ABHD3_HUMAN",0.00356875184081239,0.00834979737836127
"ABHD4_HUMAN",0.00468639944012605,0.00665537734724447
"ABHD5_HUMAN",0.00279286847394909,0.00952608256828236
"ABHD6_HUMAN",0.00842499172467056,0.000987449765239944
"ABHD8_HUMAN",0.0087973968880924,0.000422861455847345
"ABI1_HUMAN",0.00171827332917863,0.0111552325255301
"ABI2_HUMAN",0.000526421753434362,0.0129621501848167
"ABI3_HUMAN",0.00429759449874322,0.00724482869244563
"TARSH_HUMAN",0.00877603987920753,0.000455239947673769
"ABITM_HUMAN",0.00898223155695007,0.000142641138146438
"ABL1_HUMAN",0.00795273798506094,0.00170341443662283
"ABL2_HUMAN",0.00857026428747578,0.000767207946137047
"ABLM2_HUMAN",0.00263273053167081,0.00976886118410419
"ABLM3_HUMAN",0.000860482391992816,0.0124556944487433
"BGAT_HUMAN",0.00901427491099453,9.40615134146021e-05
"ABR_HUMAN",0.00836505172738846,0.0010783223552426
"ABRA_HUMAN",0.00279286847394909,0.00952608256828236
"ABRAL_HUMAN",0.00382188512937153,0.00796603230344798
"ABRX1_HUMAN",0.00709663661280476,0.00300131487922038
"ABRX2_HUMAN",0.00900780923452327,0.000103863862325246
"ABT1_HUMAN",0.00893822079271914,0.000209364066324771
"ABTB1_HUMAN",0.000164461104131506,0.0135109039915009
"ABTB2_HUMAN",0.00899704360734938,0.000120185191465289
